Namespace(activ='tanh', auto_augment=False, batch_size=100, bias=False, checkpoint_freq=0, conv_mode='mb1', cutout=0, dataset=['cifar10'], epochs=200, filters=163, gamma=0.5, history=5, iter=30, learning_rate=0.1, min_lr=0.0001, model='resthrifty', momentum=0.9, n_mini_batch=1, n_params=40000, name='pool1_40K', nesterov=True, optimizer='sgd', patience=7, pool=[15], resume=None, seed=608454, test_batch_size=100, topk=None, weight_decay=0.0005)
Parameters : 39636
Filters : 163
*******
Epoch : 145, lr : 0.0001, epoch_time : 7.918156627813975, train_loss : 0.10560232400894165, train_acc(top1) : 88.23999786376953, test_loss : 0.4543983193397522, 
Epoch : 146, lr : 0.0001, epoch_time : 7.917509305477142, train_loss : 0.03346751630306244, train_acc(top1) : 88.11000061035156, test_loss : 0.457657329750061, 
Epoch : 147, lr : 0.0001, epoch_time : 7.9171477595965065, train_loss : 0.039111193269491196, train_acc(top1) : 88.16000366210938, test_loss : 0.45824112777709963, 
Epoch : 148, lr : 0.0001, epoch_time : 7.917760709921519, train_loss : 0.07107502222061157, train_acc(top1) : 88.2699966430664, test_loss : 0.4615551332473755, 
Epoch : 149, lr : 0.0001, epoch_time : 7.916984577973683, train_loss : 0.05878861993551254, train_acc(top1) : 88.1500015258789, test_loss : 0.4608393054962158, 
Epoch : 150, lr : 0.0001, epoch_time : 7.917253903547922, train_loss : 0.06818028539419174, train_acc(top1) : 88.12999725341797, test_loss : 0.45647097902297973, 
Epoch : 151, lr : 0.0001, epoch_time : 7.916970713933309, train_loss : 0.11361227929592133, train_acc(top1) : 88.1500015258789, test_loss : 0.4628536586761475, 
Epoch : 152, lr : 0.0001, epoch_time : 7.916513649622599, train_loss : 0.056236814707517624, train_acc(top1) : 88.19000244140625, test_loss : 0.4597537363052368, 
Epoch : 153, lr : 0.0001, epoch_time : 7.916916445891062, train_loss : 0.055293310433626175, train_acc(top1) : 88.0999984741211, test_loss : 0.4657538481712341, 
Epoch : 154, lr : 0.0001, epoch_time : 7.917771430810292, train_loss : 0.06431089341640472, train_acc(top1) : 88.23999786376953, test_loss : 0.4646058793067932, 
Epoch : 155, lr : 0.0001, epoch_time : 7.917090022563935, train_loss : 0.058912765234708786, train_acc(top1) : 88.1500015258789, test_loss : 0.4568780038833618, 
Epoch : 156, lr : 0.0001, epoch_time : 7.91687060991923, train_loss : 0.049492236226797104, train_acc(top1) : 88.2300033569336, test_loss : 0.4598044281005859, 
Epoch : 157, lr : 0.0001, epoch_time : 7.917425322532654, train_loss : 0.058460984379053116, train_acc(top1) : 88.3499984741211, test_loss : 0.4574050651550293, 
Epoch : 158, lr : 0.0001, epoch_time : 7.914989427725474, train_loss : 0.10060644149780273, train_acc(top1) : 88.30000305175781, test_loss : 0.46078688039779664, 
Epoch : 159, lr : 0.0001, epoch_time : 7.915267491340638, train_loss : 0.0667206272482872, train_acc(top1) : 88.16000366210938, test_loss : 0.4623203874588013, 
