Namespace(activ='tanh', auto_augment=False, batch_size=100, bias=False, checkpoint_freq=0, conv_mode='mb1', cutout=0, dataset=['cifar10'], epochs=200, filters=208, gamma=0.5, history=5, iter=30, learning_rate=0.1, min_lr=0.0001, model='resthrifty', momentum=0.9, n_mini_batch=1, n_params=60000, name='pool1_60K', nesterov=True, optimizer='sgd', out_mode='pool', patience=7, pool=[15], resume=None, seed=980154, test_batch_size=100, topk=None, weight_decay=0.0005)
Parameters : 59886
Filters : 208
*******
Epoch : 81, lr : 0.00625, epoch_time : 4.955651005109151, train_loss : 0.12947499752044678, train_acc(top1) : 95.8499984741211, test_loss : 0.37131745176315306, test_acc(top1) : 89.5, 
Epoch : 82, lr : 0.00625, epoch_time : 4.966358443101247, train_loss : 0.02734905667603016, train_acc(top1) : 95.95800018310547, test_loss : 0.3682212894439697, test_acc(top1) : 89.75, 
Epoch : 83, lr : 0.00625, epoch_time : 4.972948336601258, train_loss : 0.13655658066272736, train_acc(top1) : 95.84400177001953, test_loss : 0.38689853591918943, test_acc(top1) : 89.36000061035156, 
Epoch : 84, lr : 0.00625, epoch_time : 4.983399558067322, train_loss : 0.15094847977161407, train_acc(top1) : 95.91799926757812, test_loss : 0.36487117471694946, test_acc(top1) : 89.75, 
Epoch : 85, lr : 0.003125, epoch_time : 4.96243599653244, train_loss : 0.038123589009046555, train_acc(top1) : 97.04399871826172, test_loss : 0.34587415866851806, test_acc(top1) : 90.22000122070312, 
Epoch : 86, lr : 0.003125, epoch_time : 4.940942637125651, train_loss : 0.08698126673698425, train_acc(top1) : 97.26399993896484, test_loss : 0.3525042620658875, test_acc(top1) : 90.3499984741211, 
Epoch : 87, lr : 0.003125, epoch_time : 4.956248863538106, train_loss : 0.07004112005233765, train_acc(top1) : 97.39199829101562, test_loss : 0.3600837109565735, test_acc(top1) : 89.93000030517578, 
Epoch : 88, lr : 0.003125, epoch_time : 4.968779444694519, train_loss : 0.07788323611021042, train_acc(top1) : 97.49800109863281, test_loss : 0.360477260017395, test_acc(top1) : 90.37999725341797, 
Epoch : 89, lr : 0.003125, epoch_time : 4.894291031360626, train_loss : 0.05541464313864708, train_acc(top1) : 97.56800079345703, test_loss : 0.3551998259544373, test_acc(top1) : 90.04000091552734, 
Epoch : 90, lr : 0.003125, epoch_time : 4.881099708875021, train_loss : 0.09756194055080414, train_acc(top1) : 97.66400146484375, test_loss : 0.3868703742980957, test_acc(top1) : 90.02999877929688, 
Epoch : 91, lr : 0.003125, epoch_time : 4.87876025835673, train_loss : 0.1110769584774971, train_acc(top1) : 97.56199645996094, test_loss : 0.37700073404312134, test_acc(top1) : 89.70999908447266, 
Epoch : 92, lr : 0.003125, epoch_time : 4.880625136693319, train_loss : 0.08744940161705017, train_acc(top1) : 97.59200286865234, test_loss : 0.3696915197372437, test_acc(top1) : 90.19999694824219, 
Epoch : 93, lr : 0.0015625, epoch_time : 4.8793510278066, train_loss : 0.0451585091650486, train_acc(top1) : 98.16400146484375, test_loss : 0.36609349613189696, test_acc(top1) : 90.45999908447266, 
Epoch : 94, lr : 0.0015625, epoch_time : 4.9482642332712805, train_loss : 0.029497595503926277, train_acc(top1) : 98.30000305175781, test_loss : 0.3694186626434326, test_acc(top1) : 90.31999969482422, 
Epoch : 95, lr : 0.0015625, epoch_time : 4.93592293659846, train_loss : 0.0775490552186966, train_acc(top1) : 98.36799621582031, test_loss : 0.36247955474853516, test_acc(top1) : 90.55000305175781, 
Epoch : 96, lr : 0.0015625, epoch_time : 4.882430672645569, train_loss : 0.06724509596824646, train_acc(top1) : 98.39600372314453, test_loss : 0.38123747854232787, test_acc(top1) : 90.5199966430664, 
Epoch : 97, lr : 0.0015625, epoch_time : 4.866701209545136, train_loss : 0.046690475195646286, train_acc(top1) : 98.40399932861328, test_loss : 0.384152971124649, test_acc(top1) : 90.30000305175781, 
Epoch : 98, lr : 0.0015625, epoch_time : 4.880147278308868, train_loss : 0.053416818380355835, train_acc(top1) : 98.50399780273438, test_loss : 0.3696462511062622, test_acc(top1) : 90.3499984741211, 
Epoch : 99, lr : 0.0015625, epoch_time : 4.869818460941315, train_loss : 0.06760621070861816, train_acc(top1) : 98.52200317382812, test_loss : 0.3865004487991333, test_acc(top1) : 90.37000274658203, 
Epoch : 100, lr : 0.0015625, epoch_time : 4.887366100152334, train_loss : 0.05358729511499405, train_acc(top1) : 98.4540023803711, test_loss : 0.37756351976394653, test_acc(top1) : 90.4800033569336, 
Epoch : 101, lr : 0.00078125, epoch_time : 4.852528814474741, train_loss : 0.024196358397603035, train_acc(top1) : 98.63400268554688, test_loss : 0.3768898921012878, test_acc(top1) : 90.55999755859375, 
Epoch : 102, lr : 0.00078125, epoch_time : 4.873632212479909, train_loss : 0.028136583045125008, train_acc(top1) : 98.73799896240234, test_loss : 0.3791454710960388, test_acc(top1) : 90.56999969482422, 
Epoch : 103, lr : 0.00078125, epoch_time : 4.880338573455811, train_loss : 0.01600196771323681, train_acc(top1) : 98.84400177001953, test_loss : 0.3859220170021057, test_acc(top1) : 90.55999755859375, 
Epoch : 104, lr : 0.00078125, epoch_time : 4.885826603571574, train_loss : 0.0211752038449049, train_acc(top1) : 98.77200317382812, test_loss : 0.3867790885925293, test_acc(top1) : 90.5199966430664, 
Epoch : 105, lr : 0.00078125, epoch_time : 4.87338920434316, train_loss : 0.03322906792163849, train_acc(top1) : 98.71199798583984, test_loss : 0.3860838762283325, test_acc(top1) : 90.62000274658203, 
Epoch : 106, lr : 0.00078125, epoch_time : 4.949308435122172, train_loss : 0.06695599853992462, train_acc(top1) : 98.80999755859375, test_loss : 0.3884405330657959, test_acc(top1) : 90.41000366210938, 
Epoch : 107, lr : 0.00078125, epoch_time : 4.964497927824656, train_loss : 0.019179023802280426, train_acc(top1) : 98.81400299072266, test_loss : 0.3952640624046326, test_acc(top1) : 90.5, 
Epoch : 108, lr : 0.00078125, epoch_time : 4.937933818499247, train_loss : 0.027711309492588043, train_acc(top1) : 98.82599639892578, test_loss : 0.3953217222690582, test_acc(top1) : 90.5199966430664, 
Epoch : 109, lr : 0.000390625, epoch_time : 4.978248556454976, train_loss : 0.02551276609301567, train_acc(top1) : 98.90799713134766, test_loss : 0.3910837097644806, test_acc(top1) : 90.45999908447266, 
Epoch : 110, lr : 0.000390625, epoch_time : 4.909306526184082, train_loss : 0.037850990891456604, train_acc(top1) : 98.9000015258789, test_loss : 0.3946930409431458, test_acc(top1) : 90.5199966430664, 
Epoch : 111, lr : 0.000390625, epoch_time : 4.97298534711202, train_loss : 0.027911042794585228, train_acc(top1) : 98.99400329589844, test_loss : 0.3918797733783722, test_acc(top1) : 90.58000183105469, 
Epoch : 112, lr : 0.000390625, epoch_time : 4.959120810031891, train_loss : 0.015037203207612038, train_acc(top1) : 99.09200286865234, test_loss : 0.40011050205230714, test_acc(top1) : 90.55999755859375, 
Epoch : 113, lr : 0.000390625, epoch_time : 4.962596396605174, train_loss : 0.030044332146644592, train_acc(top1) : 99.01799774169922, test_loss : 0.39704936027526855, test_acc(top1) : 90.54000091552734, 
Epoch : 114, lr : 0.000390625, epoch_time : 4.964095401763916, train_loss : 0.014924225397408009, train_acc(top1) : 98.98999786376953, test_loss : 0.3993393410682678, test_acc(top1) : 90.3499984741211, 
Epoch : 115, lr : 0.000390625, epoch_time : 4.981734963258107, train_loss : 0.023774825036525726, train_acc(top1) : 98.9540023803711, test_loss : 0.39980683903694153, test_acc(top1) : 90.41999816894531, 
Epoch : 116, lr : 0.000390625, epoch_time : 4.986935635407765, train_loss : 0.02706427499651909, train_acc(top1) : 98.99800109863281, test_loss : 0.40303359327316285, test_acc(top1) : 90.41999816894531, 
Epoch : 117, lr : 0.0001953125, epoch_time : 4.985041459401448, train_loss : 0.025716781616210938, train_acc(top1) : 99.08200073242188, test_loss : 0.3979930534362793, test_acc(top1) : 90.47000122070312, 
Epoch : 118, lr : 0.0001953125, epoch_time : 4.978760937849681, train_loss : 0.01832468993961811, train_acc(top1) : 99.06199645996094, test_loss : 0.40008493809700013, test_acc(top1) : 90.43000030517578, 
Epoch : 119, lr : 0.0001953125, epoch_time : 4.9628273526827495, train_loss : 0.03125537931919098, train_acc(top1) : 99.06600189208984, test_loss : 0.40384139566421506, test_acc(top1) : 90.5, 
Epoch : 120, lr : 0.0001953125, epoch_time : 4.89431635538737, train_loss : 0.03242466598749161, train_acc(top1) : 99.10600280761719, test_loss : 0.39974326610565186, test_acc(top1) : 90.37000274658203, 
Epoch : 121, lr : 0.0001953125, epoch_time : 4.8928789893786115, train_loss : 0.03839747607707977, train_acc(top1) : 99.05400085449219, test_loss : 0.40278498697280884, test_acc(top1) : 90.3499984741211, 
Epoch : 122, lr : 0.0001953125, epoch_time : 4.874149096012116, train_loss : 0.016712121665477753, train_acc(top1) : 99.03199768066406, test_loss : 0.39742839603424074, test_acc(top1) : 90.55999755859375, 
Epoch : 123, lr : 0.0001953125, epoch_time : 4.892511840661367, train_loss : 0.012552971951663494, train_acc(top1) : 99.10399627685547, test_loss : 0.39855316247940065, test_acc(top1) : 90.44000244140625, 
Epoch : 124, lr : 0.0001953125, epoch_time : 4.8840111295382185, train_loss : 0.02862647920846939, train_acc(top1) : 99.0979995727539, test_loss : 0.40048110389709474, test_acc(top1) : 90.55000305175781, 
Epoch : 125, lr : 0.0001, epoch_time : 4.874276089668274, train_loss : 0.018100647255778313, train_acc(top1) : 99.0479965209961, test_loss : 0.4010941265106201, test_acc(top1) : 90.4800033569336, 
Epoch : 126, lr : 0.0001, epoch_time : 4.967117210229238, train_loss : 0.03655856475234032, train_acc(top1) : 99.11599731445312, test_loss : 0.4041011392593384, test_acc(top1) : 90.43000030517578, 
